persistence_length,num_fibers,noise_density,fov,curvature_min,curvature_max,filename,timestamp,simulation_id,repeat_id,status
,4,0.3,1000,0.0,0.005,network_repeat_116_comb_0.pt,2024-12-09 11:46:10,0,116,completed
17000,4,0.3,1000,0.0,0.005,network_repeat_116_comb_1.pt,2024-12-09 11:46:11,1,116,completed
,4,0.3,1000,0.0,0.005,network_repeat_117_comb_0.pt,2024-12-09 11:46:11,0,117,completed
17000,4,0.3,1000,0.0,0.005,network_repeat_117_comb_1.pt,2024-12-09 11:46:12,1,117,completed
,4,0.3,1000,0.0,0.005,network_repeat_118_comb_0.pt,2024-12-09 11:46:12,0,118,completed
17000,4,0.3,1000,0.0,0.005,network_repeat_118_comb_1.pt,2024-12-09 11:46:12,1,118,completed
,4,0.3,1000,0.0,0.005,network_repeat_119_comb_0.pt,2024-12-09 11:46:13,0,119,completed
17000,4,0.3,1000,0.0,0.005,network_repeat_119_comb_1.pt,2024-12-09 11:46:13,1,119,completed
,4,0.3,1000,0.0,0.005,network_repeat_120_comb_0.pt,2024-12-09 11:46:13,0,120,completed
17000,4,0.3,1000,0.0,0.005,network_repeat_120_comb_1.pt,2024-12-09 11:46:14,1,120,completed
,4,0.3,1000,0.0,0.005,network_repeat_121_comb_0.pt,2024-12-09 11:46:14,0,121,completed
17000,4,0.3,1000,0.0,0.005,network_repeat_121_comb_1.pt,2024-12-09 11:46:14,1,121,completed
,4,0.3,1000,0.0,0.005,network_repeat_122_comb_0.pt,2024-12-09 11:46:15,0,122,completed
17000,4,0.3,1000,0.0,0.005,network_repeat_122_comb_1.pt,2024-12-09 11:46:15,1,122,completed
,4,0.3,1000,0.0,0.005,network_repeat_123_comb_0.pt,2024-12-09 11:46:16,0,123,completed
17000,4,0.3,1000,0.0,0.005,network_repeat_123_comb_1.pt,2024-12-09 11:46:16,1,123,completed
